player,team,week,opponent,points,minutes,goal,assist,cleanSheet,goalsConceded,influence,creativity,threat,iCTIndex
Fraser,BOU,16,LIV (H) 0-4,2,90,0,0,0,4,5.8,8.8,0,1.5
Fraser,BOU,17,WOL (A) 2-0,2,90,0,0,0,2,9.6,33.2,4,4.7
Fraser,BOU,18,BHA (H) 2-0,4,25,0,1,0,0,27.2,34.6,2,6.4
Fraser,BOU,19,TOT (A) 5-0,2,90,0,0,0,5,19.2,69.3,22,11.1
Fraser,BOU,20,MUN (A) 4-1,1,24,0,0,0,1,2.6,10.9,2,1.6
Fraser,BOU,21,WAT (H) 3-3,12,81,1,1,0,3,63.8,42.6,65,17.1
Fraser,BOU,22,EVE (A) 2-0,2,90,0,0,0,2,22.4,72.4,19,11.4
Fraser,BOU,23,WHU (H) 2-0,3,90,0,0,1,0,15.2,37.6,4,5.7
Fraser,BOU,24,CHE (H) 4-0,3,90,0,0,1,0,5.8,3.1,4,1.3
Fraser,BOU,25,CAR (A) 2-0,2,90,0,0,0,2,3,29,17,4.9
Fraser,BOU,26,LIV (A) 3-0,2,90,0,0,0,3,18.4,12.3,31,6.2
Fraser,BOU,27,WOL (H) 1-1,3,90,0,0,0,1,21,38,8,6.7
Fraser,BOU,28,ARS (A) 5-1,2,79,0,0,0,5,10.4,17.2,24,5.2
Fraser,BOU,29,MCI (H) 0-1,2,90,0,0,0,1,3.8,4.7,0,0.9
Fraser,BOU,30,HUD (A) 0-2,13,90,1,1,1,0,64.2,43.7,21,12.9
Fraser,BOU,31,NEW (H) 2-2,2,90,0,0,0,2,11.4,44,10,6.5
Fraser,BOU,32,LEI (A) 2-0,2,90,0,0,0,2,11.4,26.8,11,4.9
Fraser,BOU,33,BUR (H) 1-3,2,90,0,0,0,3,14.2,37.9,11,6.3
Fraser,BOU,34,BHA (A) 0-5,16,90,1,2,1,0,80.4,51.8,11,14.3
Fraser,BOU,35,FUL (H) 0-1,2,90,0,0,0,1,15,28.2,94,13.7
Milivojevic,CRY,1,FUL (A) 0-2,3,90,0,0,1,0,16.8,34.6,0,5.1
Milivojevic,CRY,2,LIV (H) 0-2,2,90,0,0,0,2,19.6,5.3,7,3.2
Milivojevic,CRY,3,WAT (A) 2-1,2,90,0,0,0,2,14.6,29.8,0,4.4
Milivojevic,CRY,4,SOU (H) 0-2,2,90,0,0,0,2,30.2,34.1,7,7.1
Milivojevic,CRY,5,HUD (A) 0-1,3,90,0,0,1,0,5.4,6.8,0,1.2
Milivojevic,CRY,6,NEW (H) 0-0,3,90,0,0,1,0,29.4,19.8,22,7.1
Milivojevic,CRY,7,BOU (A) 2-1,2,90,0,0,0,2,16,13.9,20,5
Milivojevic,CRY,8,WOL (H) 0-1,2,90,0,0,0,1,21.4,18.3,15,5.5
Milivojevic,CRY,9,EVE (A) 2-0,0,90,0,0,0,2,24,1.7,25,5.1
Milivojevic,CRY,10,ARS (H) 2-2,15,90,2,0,0,2,74.6,28.3,38,14.1
Milivojevic,CRY,11,CHE (A) 3-1,1,90,0,0,0,3,18.6,11.6,0,3
Milivojevic,CRY,12,TOT (H) 0-1,2,90,0,0,0,1,24,32.6,8,6.5
Milivojevic,CRY,13,MUN (A) 0-0,2,90,0,0,1,0,29.2,23.8,2,5.5
Milivojevic,CRY,14,BUR (H) 2-0,3,90,0,0,1,0,5.2,12.6,28,4.6
Milivojevic,CRY,15,BHA (A) 3-1,9,90,1,0,0,3,50.6,6.5,46,10.3
Milivojevic,CRY,16,WHU (A) 3-2,2,90,0,0,0,3,15,13.1,9,3.7
Milivojevic,CRY,17,LEI (H) 1-0,11,90,1,0,1,0,49.4,13.2,8,7.1
Milivojevic,CRY,18,MCI (A) 2-3,10,90,1,0,0,2,48.6,0.9,17,6.7
Milivojevic,CRY,19,CAR (H) 0-0,3,90,0,0,1,0,8.2,28.7,18,5.5
Milivojevic,CRY,20,CHE (H) 0-1,2,90,0,0,0,1,14.6,3.7,4,2.2
Milivojevic,CRY,21,WOL (A) 0-2,7,90,1,0,1,0,39.4,3.9,25,6.8
Milivojevic,CRY,22,WAT (H) 1-2,1,90,0,0,0,2,30,53.7,22,10.6
Milivojevic,CRY,23,LIV (A) 4-3,5,90,0,1,0,4,31.2,15.8,0,4.7
Milivojevic,CRY,24,SOU (A) 1-1,1,90,0,0,0,1,10.4,33.2,8,5.2
Milivojevic,CRY,25,FUL (H) 2-0,11,90,1,0,1,0,51,51.7,25,12.8
Milivojevic,CRY,26,WHU (H) 1-1,1,90,0,0,0,1,19.6,50,8,7.8
Milivojevic,CRY,27,LEI (A) 1-4,9,90,1,0,0,1,57.6,10.8,17,8.5
Milivojevic,CRY,28,MUN (H) 1-3,2,90,0,0,0,3,26.2,62.9,1,9
Milivojevic,CRY,29,BUR (A) 1-3,2,90,0,0,0,1,9.6,6.6,2,1.8
Milivojevic,CRY,30,BHA (H) 1-2,10,90,1,0,0,2,48.2,37.3,18,10.4
Milivojevic,CRY,32,HUD (H) 2-0,9,90,1,0,1,0,49.6,21.5,17,8.8
Milivojevic,CRY,32,TOT (A) 2-0,2,90,0,0,0,2,11,11,0,2.2
Milivojevic,CRY,33,NEW (A) 0-1,10,90,1,0,1,0,43.4,9.9,17,7
Milivojevic,CRY,34,MCI (H) 1-3,8,90,1,0,0,3,45.6,29.1,10,8.5
Milivojevic,CRY,35,ARS (A) 2-3,5,90,0,1,0,2,39.4,78.3,0,11.8
Son,TOT,1,NEW (A) 1-2,1,10,0,0,0,0,8,1,2,1.1
Son,TOT,2,FUL (H) 3-1,0,0,0,0,0,0,0,0,0,0
Son,TOT,3,MUN (A) 0-3,0,0,0,0,0,0,0,0,0,0
Son,TOT,4,WAT (A) 2-1,0,0,0,0,0,0,0,0,0,0
Son,TOT,5,LIV (H) 1-2,1,17,0,0,0,0,3.2,11.6,4,1.9
Son,TOT,6,BHA (A) 1-2,3,67,0,0,1,0,7.2,5.8,27,4
Son,TOT,7,HUD (A) 0-2,3,89,0,0,1,0,5.4,11.9,23,4
Son,TOT,8,CAR (H) 1-0,3,71,0,0,1,0,8.6,24.6,26,5.9
Son,TOT,9,WHU (A) 0-1,0,0,0,0,0,0,0,0,0,0
Son,TOT,10,MCI (H) 0-1,0,0,0,0,0,0,0,0,0,0
Son,TOT,11,WOL (A) 2-3,4,51,0,1,0,0,17.6,13.7,4,3.5
Son,TOT,12,CRY (A) 0-1,1,19,0,0,0,0,3.2,2.2,20,2.5
